method,scenario_id,n,successes,failures,observed,ci_low,ci_high,analytical_not_measured,observed_minus_analytical,analytical_inside_pointwise_ci
shamir_3_5,iid_p15,1071,1055,16,0.9850606909430439,0.9758705239839756,0.9907836662442104,0.9733881249999999,0.011672565943044,False
gatl_uniform_3_5,iid_p15,1071,1055,16,0.9850606909430439,0.9758705239839756,0.9907836662442104,0.9733881249999999,0.011672565943044,False
gatl_gateway,iid_p15,1071,895,176,0.8356676003734828,0.8122813662446645,0.856654497830471,0.8495696875,-0.013902087126517193,True
rs_2_5_gateway_check,iid_p15,1071,895,176,0.8356676003734828,0.8122813662446645,0.856654497830471,0.8495696875,-0.013902087126517193,True
native,iid_p20,1071,845,226,0.7889822595704948,0.7635343765428614,0.8123645106094456,0.8000000000000002,-0.011017740429505318,True
replication,iid_p20,1071,1071,0,1.0,0.996426022843491,1.0,0.99968,0.00031999999999998696,True
rs_3_5,iid_p20,1071,1019,52,0.9514472455648926,0.9368837058574129,0.9627838609863366,0.9420800000000001,0.009367245564892435,True
shamir_3_5,iid_p20,1071,1019,52,0.9514472455648926,0.9368837058574129,0.9627838609863366,0.9420800000000001,0.009367245564892435,True
gatl_uniform_3_5,iid_p20,1071,1019,52,0.9514472455648926,0.9368837058574129,0.9627838609863366,0.9420800000000001,0.009367245564892435,True
gatl_gateway,iid_p20,1071,845,226,0.7889822595704948,0.7635343765428614,0.8123645106094456,0.7987200000000001,-0.00973774042950526,True
rs_2_5_gateway_check,iid_p20,1071,845,226,0.7889822595704948,0.7635343765428614,0.8123645106094456,0.7987200000000001,-0.00973774042950526,True
native,iid_p25,1071,790,281,0.7376283846872083,0.7104655564473454,0.7630926560898506,0.75,-0.01237161531279174,True
replication,iid_p25,1071,1070,1,0.9990662931839402,0.9947301245039657,0.999835158801069,0.9990234375,4.285568394024608e-05,True
rs_3_5,iid_p25,1071,960,111,0.896358543417367,0.8766655114957318,0.9132184225790805,0.896484375,-0.00012583158263301808,True
shamir_3_5,iid_p25,1071,960,111,0.896358543417367,0.8766655114957318,0.9132184225790805,0.896484375,-0.00012583158263301808,True
gatl_uniform_3_5,iid_p25,1071,960,111,0.896358543417367,0.8766655114957318,0.9132184225790805,0.896484375,-0.00012583158263301808,True
gatl_gateway,iid_p25,1071,790,281,0.7376283846872083,0.7104655564473454,0.7630926560898506,0.7470703125,-0.00944192781279174,True
rs_2_5_gateway_check,iid_p25,1071,790,281,0.7376283846872083,0.7104655564473454,0.7630926560898506,0.7470703125,-0.00944192781279174,True
